Name,Seasons,Games,AB,Runs,Hits,Doubles,Triples,HR,RBI,BB,SO,BA,OBP,SLG,AdjPro,BatRun,AdjBatRun,RC,SB,CS,SBRuns,FieldAverage,FieldRuns,TotalPyrRate,Position,HOFStatus,Cluster
SAL BANDO, 16.0, 2019.0, 7060.0, 982.0, 1790.0, 289.0, 38.0, 242.0, 1039.0, 1031.0, 923.0, 0.254, 0.355, 0.408, 120.0, 165.0, 193.0, 1069.0, 75.0, 46.0, -5.0, 0.959, -104.0, 7.7, 3, 0, 0
ERNIE BANKS, 19.0, 2528.0, 9421.0, 1305.0, 2583.0, 407.0, 90.0, 512.0, 1636.0, 763.0, 1236.0, 0.274, 0.333, 0.5, 122.0, 288.0, 261.0, 1513.0, 50.0, 53.0, -17.0, 0.994, 4.0, 25.7, 1, 1, 0
DICK BARTELL, 18.0, 2016.0, 7629.0, 1130.0, 2165.0, 442.0, 71.0, 79.0, 710.0, 748.0, 627.0, 0.284, 0.355, 0.391, 96.0, 13.0, -36.0, 1107.0, 109.0, 3.0, 0.0, 0.953, 178.0, 27.7, S, 0, 0
HANK BAUER, 14.0, 1544.0, 5145.0, 833.0, 1424.0, 229.0, 57.0, 164.0, 703.0, 521.0, 638.0, 0.277, 0.347, 0.439, 114.0, 68.0, 87.0, 801.0, 50.0, 33.0, -5.0, 0.982, -65.0, -4.7, O, 0, 0
DON BAYLOR, 19.0, 2292.0, 8198.0, 1236.0, 2135.0, 366.0, 28.0, 338.0, 1276.0, 805.0, 1069.0, 0.26, 0.346, 0.436, 119.0, 181.0, 206.0, 1247.0, 285.0, 120.0, 14.0, 0.977, -37.0, 13.8, D, 0, 0
GINGER BEAUMONT, 12.0, 1463.0, 5660.0, 955.0, 1759.0, 182.0, 82.0, 39.0, 617.0, 425.0, 14.0, 0.311, 0.362, 0.393, 123.0, 168.0, 155.0, 939.0, 254.0, 0.0, 0.0, 0.956, -26.0, 5.3, O, 0, 0
JAKE BECKLEY, 20.0, 2386.0, 9526.0, 1600.0, 2930.0, 473.0, 243.0, 86.0, 1575.0, 616.0, 270.0, 0.308, 0.361, 0.435, 126.0, 289.0, 311.0, 1684.0, 315.0, 0.0, 0.0, 0.981, 19.0, 24.5, 1, 2, 0
BUDDY BELL, 18.0, 2405.0, 8995.0, 1151.0, 2514.0, 425.0, 56.0, 201.0, 1106.0, 836.0, 776.0, 0.279, 0.343, 0.406, 108.0, 102.0, 103.0, 1218.0, 55.0, 79.0, -31.0, 0.964, 191.0, 22.9, 3, 0, 0
GUS BELL, 15.0, 1741.0, 6478.0, 865.0, 1823.0, 311.0, 66.0, 206.0, 942.0, 470.0, 636.0, 0.281, 0.333, 0.445, 102.0, 37.0, 9.0, 962.0, 30.0, 31.0, 0.0, 0.985, 2.0, -8.0, O, 0, 0
JOHNNY BENCH, 17.0, 2158.0, 7658.0, 1091.0, 2048.0, 381.0, 24.0, 389.0, 1376.0, 891.0, 1278.0, 0.267, 0.345, 0.476, 127.0, 264.0, 259.0, 1240.0, 68.0, 43.0, -5.0, 0.99, -69.0, 25.2, C, 1, 0
WALLY BERGER, 11.0, 1350.0, 5163.0, 809.0, 1550.0, 299.0, 59.0, 242.0, 898.0, 435.0, 694.0, 0.3, 0.359, 0.522, 140.0, 222.0, 255.0, 977.0, 36.0, 0.0, 0.0, 0.974, 26.0, 20.8, O, 0, 0
YOGI BERRA, 19.0, 2120.0, 7555.0, 1175.0, 2150.0, 321.0, 49.0, 358.0, 1430.0, 704.0, 414.0, 0.285, 0.35, 0.482, 126.0, 209.0, 238.0, 1284.0, 30.0, 26.0, -7.0, 0.989, 57.0, 35.5, C, 1, 0
LU BLUE, 13.0, 1615.0, 5904.0, 1151.0, 1696.0, 319.0, 109.0, 44.0, 695.0, 1092.0, 436.0, 0.287, 0.402, 0.401, 109.0, 119.0, 125.0, 1031.0, 150.0, 85.0, 0.0, 0.989, 1.0, 1.2, 1, 0, 0
OSSIE BLUEGE, 18.0, 1867.0, 6440.0, 883.0, 1751.0, 276.0, 67.0, 43.0, 848.0, 723.0, 515.0, 0.272, 0.352, 0.356, 85.0, -147.0, -126.0, 847.0, 140.0, 85.0, -9.0, 0.957, 4.0, -2.2, 3, 0, 0
BOBBY BONDS, 14.0, 1849.0, 7043.0, 1258.0, 1886.0, 302.0, 66.0, 332.0, 1024.0, 914.0, 1757.0, 0.268, 0.356, 0.471, 129.0, 274.0, 276.0, 1224.0, 461.0, 169.0, 37.0, 0.977, 89.0, 32.7, O, 0, 0
BOB BOONE, 19.0, 2264.0, 7245.0, 679.0, 1838.0, 303.0, 26.0, 105.0, 826.0, 663.0, 608.0, 0.254, 0.318, 0.346, 82.0, -160.0, -170.0, 790.0, 38.0, 50.0, -19.0, 0.986, 6.0, -8.9, C, 0, 0
JIM BOTTOMLEY, 16.0, 1991.0, 7471.0, 1177.0, 2313.0, 465.0, 151.0, 219.0, 1422.0, 664.0, 591.0, 0.31, 0.369, 0.5, 124.0, 262.0, 252.0, 1384.0, 58.0, 15.0, 0.0, 0.988, -120.0, -2.3, 1, 2, 0
LOU BOUDREAU, 15.0, 1646.0, 6029.0, 861.0, 1779.0, 385.0, 66.0, 68.0, 789.0, 796.0, 309.0, 0.295, 0.38, 0.415, 121.0, 154.0, 181.0, 996.0, 51.0, 50.0, -15.0, 0.973, 134.0, 40.4, S, 1, 0
LARRY BOWA, 16.0, 2247.0, 8418.0, 987.0, 2191.0, 262.0, 99.0, 15.0, 525.0, 474.0, 569.0, 0.26, 0.301, 0.32, 71.0, -310.0, -341.0, 836.0, 318.0, 105.0, 32.0, 0.98, -76.0, -13.9, S, 0, 0
KEN BOYER, 15.0, 2034.0, 7455.0, 1104.0, 2143.0, 318.0, 68.0, 282.0, 1141.0, 713.0, 1017.0, 0.287, 0.351, 0.462, 115.0, 207.0, 162.0, 1184.0, 105.0, 77.0, -15.0, 0.952, 69.0, 20.3, 3, 0, 0
ROGER BRESNAHAN, 17.0, 1446.0, 4481.0, 682.0, 1252.0, 218.0, 71.0, 26.0, 530.0, 714.0, 99.0, 0.279, 0.385, 0.377, 125.0, 181.0, 172.0, 754.0, 212.0, 3.0, 0.0, 0.971, -62.0, 19.6, C, 2, 0
LOU BROCK, 19.0, 2616.0, 10332.0, 1610.0, 3023.0, 486.0, 141.0, 149.0, 900.0, 761.0, 1730.0, 0.293, 0.344, 0.41, 109.0, 135.0, 114.0, 1512.0, 938.0, 307.0, 97.0, 0.959, -98.0, -0.5, O, 1, 0
DAN BROUTHERS, 19.0, 1673.0, 6711.0, 1523.0, 2296.0, 460.0, 205.0, 106.0, 1296.0, 840.0, 238.0, 0.342, 0.423, 0.519, 171.0, 648.0, 631.0, 1624.0, 256.0, 0.0, 0.0, 0.971, -18.0, 43.7, 1, 2, 0
TOM BROWN, 17.0, 1786.0, 7363.0, 1521.0, 1952.0, 239.0, 138.0, 64.0, 529.0, 748.0, 708.0, 0.265, 0.337, 0.361, 103.0, 4.0, 34.0, 1161.0, 657.0, 0.0, 0.0, 0.89, 38.0, 0.7, O, 0, 0
PETE BROWNING, 13.0, 1183.0, 4820.0, 954.0, 1646.0, 295.0, 85.0, 46.0, 353.0, 466.0, 167.0, 0.341, 0.403, 0.467, 166.0, 368.0, 388.0, 1048.0, 258.0, 0.0, 0.0, 0.883, -16.0, 29.6, O, 0, 0
BILL BUCKNER, 22.0, 2517.0, 9397.0, 1077.0, 2715.0, 498.0, 49.0, 174.0, 1208.0, 450.0, 453.0, 0.289, 0.324, 0.408, 99.0, -2.0, -27.0, 1190.0, 183.0, 73.0, 11.0, 0.992, 106.0, -3.5, 1, 0, 0
JESSE BURKETT, 16.0, 2066.0, 8421.0, 1720.0, 2850.0, 320.0, 182.0, 75.0, 952.0, 1029.0, 230.0, 0.338, 0.415, 0.446, 141.0, 514.0, 493.0, 1803.0, 389.0, 0.0, 0.0, 0.917, -18.0, 30.4, O, 2, 0
GEORGE-TIOGA BURNS, 16.0, 1866.0, 6573.0, 901.0, 2018.0, 444.0, 72.0, 72.0, 951.0, 363.0, 433.0, 0.307, 0.354, 0.429, 112.0, 104.0, 93.0, 1017.0, 153.0, 63.0, 0.0, 0.987, 0.0, 0.9, 1, 0, 0
GEORGE BURNS, 15.0, 1853.0, 7241.0, 1188.0, 2077.0, 362.0, 108.0, 41.0, 611.0, 872.0, 565.0, 0.287, 0.366, 0.384, 115.0, 143.0, 156.0, 1085.0, 383.0, 139.0, 0.0, 0.97, 32.0, 5.1, O, 0, 0
OYSTER BURNS, 11.0, 1187.0, 4637.0, 869.0, 1389.0, 224.0, 129.0, 65.0, 673.0, 464.0, 182.0, 0.3, 0.368, 0.446, 138.0, 199.0, 222.0, 891.0, 263.0, 0.0, 0.0, 0.92, -73.0, 10.3, O, 0, 0
JEFF BURROUGHS, 16.0, 1689.0, 5536.0, 720.0, 1443.0, 230.0, 20.0, 240.0, 882.0, 831.0, 1135.0, 0.261, 0.359, 0.439, 120.0, 177.0, 164.0, 892.0, 16.0, 22.0, -8.0, 0.974, -58.0, 4.4, O, 0, 0
DONIE BUSH, 16.0, 1946.0, 7210.0, 1280.0, 1804.0, 186.0, 74.0, 9.0, 436.0, 1158.0, 346.0, 0.25, 0.356, 0.3, 91.0, -32.0, -40.0, 911.0, 403.0, 75.0, 0.0, 0.936, 5.0, 7.9, S, 0, 0
JOHNNY CALLISON, 16.0, 1886.0, 6652.0, 926.0, 1757.0, 321.0, 89.0, 226.0, 840.0, 650.0, 1064.0, 0.264, 0.333, 0.441, 114.0, 123.0, 120.0, 992.0, 74.0, 51.0, -8.0, 0.984, 102.0, 12.8, O, 0, 0
DOLPH CAMILLI, 12.0, 1490.0, 5353.0, 936.0, 1482.0, 261.0, 86.0, 239.0, 950.0, 947.0, 961.0, 0.277, 0.388, 0.492, 134.0, 319.0, 277.0, 1111.0, 60.0, 0.0, 0.0, 0.99, 2.0, 14.4, 1, 0, 0
BERT CAMPANERIS, 19.0, 2328.0, 8684.0, 1181.0, 2249.0, 313.0, 86.0, 79.0, 646.0, 618.0, 1142.0, 0.259, 0.313, 0.342, 89.0, -154.0, -123.0, 992.0, 649.0, 199.0, 75.0, 0.964, -102.0, 8.9, S, 0, 0
BRUCE CAMPBELL, 13.0, 1360.0, 4762.0, 759.0, 1382.0, 295.0, 87.0, 106.0, 766.0, 548.0, 584.0, 0.29, 0.367, 0.455, 108.0, 81.0, 57.0, 815.0, 53.0, 50.0, -14.0, 0.956, -19.0, -2.7, O, 0, 0
JOSE CARDENAL, 18.0, 2017.0, 6964.0, 936.0, 1913.0, 333.0, 46.0, 138.0, 775.0, 608.0, 807.0, 0.275, 0.335, 0.395, 102.0, 46.0, 21.0, 928.0, 329.0, 139.0, 15.0, 0.976, 48.0, 0.1, O, 0, 0
ROD CAREW, 19.0, 2469.0, 9315.0, 1424.0, 3053.0, 445.0, 112.0, 92.0, 1015.0, 1018.0, 1028.0, 0.328, 0.395, 0.429, 131.0, 431.0, 414.0, 1595.0, 353.0, 187.0, -6.0, 0.991, -85.0, 32.5, 1, 1, 0
MAX CAREY, 20.0, 2476.0, 9363.0, 1545.0, 2665.0, 419.0, 159.0, 70.0, 800.0, 1040.0, 695.0, 0.285, 0.361, 0.386, 107.0, 128.0, 113.0, 1472.0, 738.0, 92.0, 0.0, 0.966, 199.0, 23.4, O, 2, 0
GARY CARTER, 19.0, 2296.0, 7971.0, 1025.0, 2092.0, 371.0, 31.0, 324.0, 1225.0, 848.0, 997.0, 0.262, 0.338, 0.439, 116.0, 145.0, 158.0, 1185.0, 39.0, 42.0, -14.0, 0.991, 53.0, 29.5, C, 0, 0
RICO CARTY, 15.0, 1651.0, 5606.0, 712.0, 1677.0, 278.0, 17.0, 204.0, 890.0, 642.0, 663.0, 0.299, 0.372, 0.464, 132.0, 248.0, 243.0, 941.0, 21.0, 26.0, -9.0, 0.97, -40.0, 15.6, O, 0, 0
NORM CASH, 17.0, 2089.0, 6705.0, 1046.0, 1820.0, 241.0, 41.0, 377.0, 1103.0, 1043.0, 1091.0, 0.271, 0.377, 0.488, 138.0, 390.0, 366.0, 1278.0, 43.0, 30.0, -5.0, 0.992, 50.0, 28.6, 1, 0, 0
PHIL CAVARRETTA, 22.0, 2030.0, 6754.0, 990.0, 1977.0, 347.0, 99.0, 95.0, 920.0, 820.0, 598.0, 0.293, 0.372, 0.416, 118.0, 170.0, 178.0, 1106.0, 65.0, 0.0, 0.0, 0.99, -21.0, 5.2, 1, 0, 0
CESAR CEDENO, 17.0, 2006.0, 7310.0, 1084.0, 2087.0, 436.0, 60.0, 199.0, 976.0, 664.0, 938.0, 0.285, 0.35, 0.443, 124.0, 180.0, 212.0, 1144.0, 550.0, 179.0, 58.0, 0.985, 10.0, 20.2, O, 0, 0
ORLANDO CEPEDA, 17.0, 2124.0, 7927.0, 1131.0, 2351.0, 417.0, 27.0, 379.0, 1365.0, 588.0, 1169.0, 0.297, 0.353, 0.499, 133.0, 337.0, 337.0, 1338.0, 142.0, 80.0, -5.0, 0.99, -40.0, 17.1, 1, 2, 0
RON CEY, 17.0, 2073.0, 7162.0, 977.0, 1868.0, 328.0, 21.0, 316.0, 1139.0, 1012.0, 1235.0, 0.261, 0.357, 0.445, 121.0, 216.0, 215.0, 1149.0, 24.0, 29.0, -10.0, 0.961, 30.0, 21.7, 3, 0, 0
CHRIS CHAMBLISS, 17.0, 2175.0, 7571.0, 912.0, 2109.0, 392.0, 42.0, 185.0, 972.0, 632.0, 926.0, 0.279, 0.336, 0.415, 108.0, 94.0, 80.0, 1036.0, 40.0, 35.0, -9.0, 0.993, 25.0, -3.5, 1, 0, 0
FRANK CHANCE, 17.0, 1287.0, 4297.0, 797.0, 1273.0, 200.0, 79.0, 20.0, 596.0, 554.0, 29.0, 0.296, 0.394, 0.394, 135.0, 218.0, 212.0, 852.0, 401.0, 0.0, 0.0, 0.987, 1.0, 21.1, 1, 2, 0
BEN CHAPMAN, 15.0, 1717.0, 6478.0, 1144.0, 1958.0, 407.0, 107.0, 90.0, 977.0, 824.0, 556.0, 0.302, 0.383, 0.44, 115.0, 120.0, 155.0, 1127.0, 287.0, 135.0, 0.0, 0.967, 50.0, 13.4, O, 0, 0
HAL CHASE, 15.0, 1919.0, 7417.0, 980.0, 2158.0, 322.0, 124.0, 57.0, 941.0, 276.0, 306.0, 0.291, 0.319, 0.391, 111.0, 98.0, 72.0, 1039.0, 363.0, 15.0, 0.0, 0.98, -45.0, -1.4, 1, 0, 0
CUPID CHILDS, 13.0, 1456.0, 5618.0, 1214.0, 1720.0, 205.0, 100.0, 20.0, 654.0, 991.0, 117.0, 0.306, 0.416, 0.389, 121.0, 230.0, 210.0, 1073.0, 269.0, 0.0, 0.0, 0.93, 92.0, 31.2, 2, 0, 0
JACK CLARK, 18.0, 1994.0, 6847.0, 1118.0, 1826.0, 332.0, 39.0, 340.0, 1180.0, 1262.0, 1441.0, 0.267, 0.383, 0.476, 138.0, 367.0, 374.0, 1279.0, 77.0, 61.0, -14.0, 0.978, 0.0, 29.0, O, 0, 0
FRED CLARKE, 21.0, 2242.0, 8568.0, 1619.0, 2672.0, 361.0, 220.0, 67.0, 1015.0, 874.0, 135.0, 0.312, 0.386, 0.429, 132.0, 383.0, 379.0, 1678.0, 506.0, 0.0, 0.0, 0.952, 58.0, 30.1, O, 2, 0
ROBERTO CLEMENTE, 18.0, 2433.0, 9454.0, 1416.0, 3000.0, 440.0, 166.0, 240.0, 1305.0, 621.0, 1230.0, 0.317, 0.362, 0.475, 130.0, 354.0, 362.0, 1557.0, 83.0, 46.0, -3.0, 0.973, 162.0, 41.5, O, 1, 0
HARLOND CLIFT, 12.0, 1582.0, 5730.0, 1070.0, 1558.0, 309.0, 62.0, 178.0, 829.0, 1070.0, 713.0, 0.272, 0.39, 0.441, 115.0, 173.0, 155.0, 1072.0, 69.0, 43.0, -5.0, 0.948, 63.0, 22.9, 3, 0, 0
TY COBB, 24.0, 3035.0, 11434.0, 2246.0, 4189.0, 724.0, 295.0, 117.0, 1937.0, 1249.0, 357.0, 0.366, 0.433, 0.512, 167.0, 1032.0, 1017.0, 2803.0, 891.0, 178.0, 0.0, 0.961, 56.0, 92.8, O, 1, 0
MICKEY COCHRANE, 13.0, 1482.0, 5169.0, 1041.0, 1652.0, 333.0, 64.0, 119.0, 832.0, 857.0, 217.0, 0.32, 0.419, 0.478, 127.0, 269.0, 244.0, 1079.0, 64.0, 46.0, -8.0, 0.985, 14.0, 32.2, C, 1, 0
ROCKY COLAVITO, 14.0, 1841.0, 6503.0, 971.0, 1730.0, 283.0, 21.0, 374.0, 1159.0, 951.0, 880.0, 0.266, 0.362, 0.489, 132.0, 297.0, 290.0, 1157.0, 19.0, 27.0, -11.0, 0.98, 66.0, 25.6, O, 0, 0
EDDIE COLLINS, 25.0, 2826.0, 9949.0, 1821.0, 3312.0, 438.0, 186.0, 47.0, 1300.0, 1499.0, 286.0, 0.333, 0.424, 0.428, 142.0, 605.0, 614.0, 2056.0, 744.0, 173.0, 0.0, 0.97, 43.0, 69.4, 2, 1, 0
JIMMY COLLINS, 14.0, 1726.0, 6796.0, 1055.0, 2000.0, 353.0, 116.0, 65.0, 983.0, 426.0, 32.0, 0.294, 0.344, 0.409, 112.0, 134.0, 93.0, 1073.0, 194.0, 0.0, 0.0, 0.929, 140.0, 24.2, 3, 2, 0
EARLE COMBS, 12.0, 1455.0, 5746.0, 1186.0, 1866.0, 309.0, 154.0, 58.0, 632.0, 670.0, 278.0, 0.325, 0.397, 0.462, 127.0, 196.0, 232.0, 1066.0, 96.0, 71.0, -14.0, 0.974, -14.0, 10.9, O, 2, 0
DAVE CONCEPCION, 19.0, 2488.0, 8723.0, 993.0, 2326.0, 389.0, 48.0, 101.0, 950.0, 736.0, 1186.0, 0.267, 0.325, 0.357, 88.0, -122.0, -135.0, 1005.0, 321.0, 109.0, 31.0, 0.971, -42.0, 9.3, S, 0, 0
ROGER CONNOR, 18.0, 1997.0, 7794.0, 1620.0, 2467.0, 441.0, 233.0, 138.0, 1322.0, 1002.0, 449.0, 0.317, 0.397, 0.486, 155.0, 563.0, 564.0, 1648.0, 244.0, 0.0, 0.0, 0.978, 42.0, 44.4, 1, 2, 0
CECIL COOPER, 17.0, 1896.0, 7349.0, 1012.0, 2192.0, 415.0, 47.0, 241.0, 1125.0, 448.0, 911.0, 0.298, 0.34, 0.466, 121.0, 186.0, 189.0, 1134.0, 89.0, 49.0, -3.0, 0.992, -13.0, 8.2, 1, 0, 0
TOMMY CORCORAN, 18.0, 2200.0, 8804.0, 1184.0, 2252.0, 289.0, 155.0, 34.0, 1135.0, 382.0, 205.0, 0.256, 0.289, 0.335, 75.0, -305.0, -311.0, 1015.0, 387.0, 0.0, 0.0, 0.924, 107.0, -11.1, S, 0, 0
DOC CRAMER, 20.0, 2239.0, 9140.0, 1357.0, 2705.0, 396.0, 109.0, 37.0, 842.0, 572.0, 345.0, 0.296, 0.34, 0.375, 87.0, -146.0, -184.0, 1168.0, 62.0, 73.0, -25.0, 0.979, 19.0, -28.9, O, 0, 0
SAM CRAWFORD, 19.0, 2517.0, 9570.0, 1391.0, 2961.0, 458.0, 309.0, 97.0, 1525.0, 760.0, 104.0, 0.309, 0.362, 0.452, 143.0, 494.0, 475.0, 1715.0, 366.0, 30.0, 0.0, 0.965, -50.0, 31.2, O, 2, 0
JOE CRONIN, 20.0, 2124.0, 7579.0, 1233.0, 2285.0, 515.0, 118.0, 170.0, 1424.0, 1059.0, 700.0, 0.301, 0.39, 0.468, 119.0, 250.0, 229.0, 1426.0, 87.0, 71.0, 0.0, 0.951, 68.0, 39.9, S, 1, 0
FRANKIE CROSETTI, 17.0, 1683.0, 6277.0, 1006.0, 1541.0, 260.0, 65.0, 98.0, 649.0, 792.0, 799.0, 0.245, 0.341, 0.354, 84.0, -155.0, -134.0, 812.0, 113.0, 62.0, -3.0, 0.949, -24.0, -4.9, S, 0, 0
LAVE CROSS, 21.0, 2275.0, 9072.0, 1333.0, 2645.0, 411.0, 135.0, 47.0, 1345.0, 464.0, 90.0, 0.292, 0.328, 0.382, 100.0, -5.0, -17.0, 1304.0, 301.0, 0.0, 0.0, 0.938, 147.0, 16.0, 3, 0, 0
JOSE CRUZ, 19.0, 2353.0, 7917.0, 1036.0, 2251.0, 391.0, 94.0, 165.0, 1077.0, 898.0, 1031.0, 0.284, 0.358, 0.42, 122.0, 169.0, 220.0, 1223.0, 317.0, 136.0, 14.0, 0.974, 63.0, 22.7, O, 0, 0
TONY CUCCINELLO, 15.0, 1704.0, 6184.0, 730.0, 1729.0, 334.0, 46.0, 94.0, 884.0, 579.0, 497.0, 0.28, 0.343, 0.394, 105.0, -1.0, 40.0, 857.0, 42.0, 3.0, 0.0, 0.973, -18.0, 10.8, 2, 0, 0
KIKI CUYLER, 18.0, 1879.0, 7161.0, 1295.0, 2299.0, 394.0, 157.0, 128.0, 1065.0, 676.0, 752.0, 0.321, 0.386, 0.474, 125.0, 270.0, 263.0, 1336.0, 328.0, 27.0, 0.0, 0.972, 12.0, 16.3, O, 2, 0
BILL DAHLEN, 21.0, 2443.0, 9031.0, 1589.0, 2457.0, 413.0, 163.0, 84.0, 1233.0, 1064.0, 269.0, 0.272, 0.357, 0.382, 110.0, 163.0, 133.0, 1505.0, 547.0, 0.0, 0.0, 0.927, 349.0, 52.4, S, 0, 0
TOM DALY, 16.0, 1564.0, 5684.0, 1024.0, 1582.0, 262.0, 103.0, 49.0, 811.0, 687.0, 401.0, 0.278, 0.362, 0.387, 109.0, 77.0, 87.0, 981.0, 385.0, 0.0, 0.0, 0.931, -31.0, 11.1, 2, 0, 0
ALVIN DARK, 14.0, 1828.0, 7219.0, 1064.0, 2089.0, 358.0, 72.0, 126.0, 757.0, 430.0, 534.0, 0.289, 0.334, 0.411, 98.0, -31.0, -29.0, 987.0, 59.0, 27.0, 0.0, 0.96, -43.0, 3.1, S, 0, 0
JAKE DAUBERT, 15.0, 2014.0, 7673.0, 1117.0, 2326.0, 250.0, 165.0, 56.0, 722.0, 623.0, 489.0, 0.303, 0.36, 0.401, 117.0, 159.0, 170.0, 1174.0, 251.0, 78.0, 0.0, 0.991, 19.0, 12.1, 1, 0, 0
GEORGE DAVIS, 20.0, 2368.0, 9031.0, 1539.0, 2660.0, 451.0, 163.0, 73.0, 1437.0, 870.0, 180.0, 0.295, 0.361, 0.405, 122.0, 239.0, 263.0, 1634.0, 616.0, 0.0, 0.0, 0.94, 250.0, 52.0, S, 2, 0
HARRY DAVIS, 22.0, 1755.0, 6653.0, 1001.0, 1841.0, 363.0, 145.0, 75.0, 951.0, 525.0, 45.0, 0.277, 0.335, 0.409, 119.0, 158.0, 145.0, 1042.0, 285.0, 2.0, 0.0, 0.98, -6.0, 11.9, 1, 0, 0
TOMMY DAVIS, 18.0, 1999.0, 7223.0, 811.0, 2121.0, 272.0, 35.0, 153.0, 1052.0, 381.0, 754.0, 0.294, 0.332, 0.405, 109.0, 44.0, 65.0, 923.0, 136.0, 59.0, 5.0, 0.97, -56.0, -5.8, O, 0, 0
